F641;"Municipal and City Level Small Area Poverty Estimates;  2018 and 2021";;;;;;;;;
PSGC;Region/Province;Municipality/City;Poverty Incidence;;Coefficient of Variation;;90% Confidence Interval;;;
;;;;;;;;;;
;;;2018;2021;2018;2021;2018;;2021;
ID;;;;;;;Lower Limit;Upper Limit;Lower Limit;Upper Limit
;National Capital Region (NCR);;;;;;;;;
30804;;Dinalupihan;6,4;11,1;12,3;9,8;5,1;7,6;9,3;12,9
30805;;Hermosa;9,0;13,6;13,5;10,4;7,0;11,0;11,3;15,9
30806;;Limay;7,2;10,5;18,8;11,9;5,0;9,4;8,4;12,6
30807;;Mariveles;4,9;10,6;19,6;11,2;3,3;6,5;8,7;12,6
30808;;Morong;10,0;16,4;18,2;12,2;7,0;13,0;13,1;19,7
30809;;Orani;6,7;8,8;12,6;11,4;5,3;8,0;7,1;10,4
30810;;Orion;8,5;9,8;15,5;13,5;6,3;10,7;7,6;12,0
30811;;Pilar;7,3;9,5;14,1;6,7;5,6;9,0;8,5;10,6
30812;;Samal;7,3;10,1;13,1;9,7;5,7;8,8;8,5;11,7
31401;Bulacan;Angat;4,6;16,5;16,5;9,7;3,4;5,9;13,9;19,1
31402;;Balagtas;3,4;14,8;32,0;17,7;1,6;5,2;10,5;19,1
31403;;City of Baliuag;4,0;11,2;14,1;9,7;3,1;4,9;9,4;13,0
31404;;Bocaue;7,5;15,1;17,7;13,9;5,3;9,7;11,7;18,6
31405;;Bulacan;4,0;12,0;18,5;15,2;2,8;5,2;9,0;15,1
31406;;Bustos;4,3;13,5;18,8;11,7;3,0;5,6;10,9;16,1
31407;;Calumpit;4,7;14,7;13,3;8,3;3,7;5,8;12,7;16,7
31408;;Guiguinto;5,5;11,4;16,2;9,3;4,0;6,9;9,6;13,1
31409;;Hagonoy;4,9;15,1;13,9;9,2;3,8;6,0;12,8;17,4
31410;;City of Malolos;2,9;9,0;13,3;11,7;2,3;3,6;7,3;10,7
31411;;Marilao;3,6;9,7;23,1;8,4;2,2;5,0;8,3;11,0
31412;;City of Meycauayan;5,2;12,6;14,5;7,1;3,9;6,4;11,2;14,1
31413;;Norzagaray;8,2;21,5;18,6;8,6;5,7;10,8;18,5;24,6
31414;;Obando;4,7;13,2;19,3;13,5;3,2;6,1;10,3;16,2
31415;;Pandi;7,1;21,0;13,3;10,1;5,5;8,6;17,5;24,5
31416;;Paombong;5,2;12,6;20,1;21,1;3,5;6,9;8,2;17,0
31417;;Plaridel;4,2;11,9;13,6;10,6;3,3;5,1;9,8;14,0
31418;;Pulilan;4,6;14,3;15,9;11,1;3,4;5,8;11,7;17,0
31419;;San Idelfonso;5,5;15,4;9,4;5,4;4,7;6,4;14,0;16,8
31420;;City of San Jose del Monte;4,6;15,5;13,8;7,0;3,6;5,7;13,7;17,3
31421;;San Miguel;6,5;18,0;10,6;5,7;5,4;7,7;16,3;19,8
31422;;San Rafael;4,5;12,7;12,6;7,1;3,5;5,4;11,2;14,2
31423;;Santa Maria;4,6;11,5;20,3;9,9;3,1;6,1;9,7;13,4
31424;;Doña Remedios Trinidad;11,4;31,7;18,5;16,8;8,0;14,9;22,9;40,5
34901;Nueva Ecija;Aliaga;6,7;13,8;11,6;7,0;5,4;8,0;12,2;15,4
34902;;Bongabon;5,5;15,0;16,1;7,8;4,0;6,9;13,1;16,9
34903;;City of Cabanatuan;3,1;8,2;11,5;6,6;2,5;3,7;7,3;9,1
34904;;Cabiao;5,7;14,3;12,4;13,6;4,5;6,9;11,1;17,4
34905;;Carranglan;7,7;20,3;15,8;10,2;5,7;9,7;16,8;23,7
34906;;Cuyapo;5,9;14,9;10,7;7,6;4,9;6,9;13,1;16,8
34907;;Gabaldon;7,1;17,4;17,3;13,8;5,1;9,2;13,4;21,4
34908;;City of Gapan;5,4;12,3;12,2;11,7;4,3;6,4;9,9;14,6
34909;;Gen Mamerto Natividad;6,7;13,5;14,9;11,7;5,1;8,4;10,9;16,1
34910;;Gen Tinio;5,1;12,6;28,2;21,8;2,7;7,5;8,1;17,1
34911;;Guimba;4,3;14,5;13,0;12,7;3,4;5,2;11,5;17,6
34912;;Jaen;4,1;10,7;17,9;10,1;2,9;5,4;8,9;12,4
34913;;Laur;5,7;15,8;16,0;6,3;4,2;7,2;14,2;17,4
34914;;Licab;7,7;11,7;15,7;31,0;5,7;9,6;5,7;17,7
34915;;Llanera;3,8;12,1;19,1;13,1;2,6;5,0;9,5;14,7
34916;;Lupao;5,8;16,3;17,3;8,8;4,1;7,4;13,9;18,7
34917;;Science City of Muñoz;5,5;10,6;11,1;9,2;4,5;6,5;9,0;12,2
34918;;Nampicuan;6,6;10,7;14,8;14,3;5,0;8,2;8,2;13,2
34919;;City of Palayan;5,8;12,6;14,1;8,8;4,5;7,2;10,8;14,5
34920;;Pantabangan;16,0;19,7;6,6;12,0;14,3;17,8;15,8;23,5
34921;;Peñaranda;4,3;15,6;24,0;11,3;2,6;5,9;12,7;18,5
34922;;Quezon;5,9;14,0;17,4;8,0;4,2;7,6;12,2;15,8
34923;;Rizal;7,4;14,0;13,7;12,1;5,7;9,0;11,2;16,8
34924;;San Antonio;5,8;14,8;20,3;10,8;3,9;7,7;12,1;17,4
34925;;San Isidro;4,6;9,0;18,4;11,9;3,2;6,0;7,3;10,8
34926;;San Jose City;4,6;12,2;13,7;9,4;3,6;5,7;10,4;14,1
34927;;San Leonardo;5,1;11,6;17,3;12,1;3,7;6,6;9,3;14,0
34928;;Santa Rosa;4,0;9,6;13,2;8,6;3,1;4,9;8,2;11,0
34929;;Santo Domingo;4,6;11,6;20,9;12,8;3,0;6,2;9,1;14,0
34930;;Talavera;4,4;10,1;11,5;9,4;3,6;5,3;8,5;11,7
34931;;Talugtug;5,3;12,9;13,6;13,5;4,1;6,5;10,0;15,7
34932;;Zaragoza;3,8;11,2;17,3;11,0;2,7;4,9;9,2;13,3
35402;Pampanga;Apalit;4,7;9,5;24,0;16,0;2,8;6,6;7,0;12,1
35403;;Arayat;6,4;16,2;12,5;12,1;5,1;7,7;13,0;19,4
35404;;Bacolor;3,6;6,5;19,6;17,6;2,5;4,8;4,6;8,3
35405;;Candaba;7,0;14,4;10,2;9,6;5,8;8,2;12,1;16,7
35406;;Floridablanca;2,9;9,4;14,0;10,7;2,3;3,6;7,7;11,0
35407;;Guagua;3,6;8,4;15,0;10,4;2,7;4,5;7,0;9,8
35408;;Lubao;3,6;10,5;11,4;8,7;2,9;4,3;9,0;12,0
35409;;Mabalacat City;4,4;8,1;15,0;5,1;3,3;5,5;7,4;8,7
35410;;Macabebe;5,5;13,0;13,1;10,7;4,3;6,7;10,7;15,2
35411;;Magalang;5,0;11,8;20,0;16,2;3,3;6,6;8,7;15,0
35412;;Masantol;10,2;18,8;9,4;16,1;8,7;11,8;13,8;23,7
35413;;Mexico;4,6;9,8;16,7;8,0;3,3;5,9;8,5;11,1
35414;;Minalin;6,2;10,7;14,5;22,5;4,7;7,6;6,7;14,7
35415;;Porac;5,6;11,1;13,8;14,9;4,3;6,9;8,4;13,9
35416;;City of San Fernando;3,6;7,2;14,7;9,5;2,7;4,5;6,1;8,4
35417;;San Luis;6,0;11,9;16,0;12,1;4,4;7,6;9,5;14,2
35418;;San Simon;5,6;11,8;16,9;17,4;4,0;7,1;8,5;15,2
35419;;Santa Ana;6,2;9,1;17,2;16,8;4,4;7,9;6,6;11,6
35420;;Santa Rita;4,1;8,4;25,1;16,2;2,4;5,8;6,2;10,7
35421;;Santo Tomas;4,3;9,2;25,2;10,0;2,5;6,0;7,7;10,8
35422;;Sasmuan;6,1;14,6;16,8;17,9;4,4;7,8;10,3;18,9
36901;Tarlac;Anao;5,2;12,0;19,6;14,1;3,5;6,9;9,2;14,8
36902;;Bamban;10,3;13,5;17,6;11,7;7,3;13,3;10,9;16,1
36903;;Camiling;6,3;10,4;10,1;5,3;5,2;7,3;9,4;11,3
36904;;Capas;8,7;11,4;16,0;9,6;6,4;11,0;9,6;13,2
36905;;Concepcion;9,9;13,3;8,9;6,0;8,4;11,3;12,0;14,6
36906;;Gerona;6,1;10,7;12,2;8,7;4,9;7,4;9,1;12,2
36907;;La Paz;10,4;15,1;11,6;13,4;8,4;12,3;11,8;18,4
36908;;Mayantoc;6,9;14,3;13,4;16,5;5,4;8,4;10,4;18,2
36909;;Moncada;7,3;12,4;12,0;7,6;5,8;8,7;10,9;13,9
36910;;Paniqui;4,6;9,8;15,1;8,6;3,4;5,7;8,5;11,2
36911;;Pura;5,6;12,1;15,4;10,6;4,2;7,0;10,0;14,3
36912;;Ramos;8,5;14,6;20,3;15,2;5,6;11,3;11,0;18,3
36913;;San Clemente;5,1;11,6;20,4;14,4;3,4;6,8;8,8;14,3
36914;;San Manuel;9,9;14,1;15,9;8,3;7,3;12,5;12,1;16,0
36915;;Santa Ignacia;5,5;14,0;16,5;9,3;4,0;7,0;11,9;16,1
36916;;City of Tarlac;5,2;10,0;11,9;5,6;4,2;6,3;9,1;10,9
36917;;Victoria;8,5;15,7;11,5;7,8;6,9;10,1;13,7;17,7
36918;;San Jose;12,1;21,5;14,9;14,6;9,1;15,0;16,3;26,6
37101;Zambales;Botolan;12,8;30,7;11,0;7,0;10,5;15,1;27,2;34,3
37102;;Cabangan;10,0;24,6;13,3;8,5;7,8;12,2;21,1;28,0
37103;;Candelabra;9,8;21,7;11,4;14,3;8,0;11,7;16,6;26,8
37104;;Castillejos;7,0;17,9;17,5;11,2;5,0;9,1;14,6;21,2
37105;;Iba;6,0;21,3;22,3;5,3;3,8;8,2;19,4;23,1
37106;;Masinloc;9,6;26,1;13,8;8,0;7,4;11,8;22,6;29,5
37108;;Palauig;10,3;28,9;14,8;9,2;7,8;12,8;24,5;33,3
37109;;San Antonio;7,3;20,7;16,9;6,6;5,3;9,3;18,5;23,0
37110;;San Felipe;9,3;21,0;17,0;9,5;6,7;11,9;17,7;24,3
37111;;San Marcelino;9,1;21,1;13,5;11,3;7,1;11,1;17,2;25,1
37112;;San Narciso;5,0;17,3;19,0;7,9;3,4;6,6;15,0;19,5
37113;;Santa Cruz;9,6;24,9;12,6;8,9;7,6;11,6;21,3;28,6
37114;;Subic;10,3;31,3;15,0;7,2;7,7;12,8;27,6;35,0
37701;Aurora;Baler;7,3;14,4;18,5;14,2;5,1;9,6;11,0;17,7
37702;;Casiguran;12,6;18,1;11,7;13,8;10,2;15,1;14,0;22,2
37703;;Dilasag;12,9;21,4;15,1;9,9;9,7;16,1;17,9;24,9
37704;;Dinalungan;14,7;17,0;15,9;14,2;10,9;18,6;13,0;20,9
37705;;Dingalan;12,7;28,5;16,8;6,3;9,2;16,3;25,5;31,4
37706;;Dipaculao;11,4;17,9;12,4;8,9;9,0;13,7;15,3;20,5
37707;;Maria Aurora;12,0;13,7;9,4;5,4;10,1;13,8;12,5;14,9
37708;;San Luis;10,9;20,1;14,3;6,7;8,4;13,5;17,9;22,3
;Region IV-A (CALABARZON);;;;;;;;;
41001;Batangas;Agoncillo;12,5;8,3;14,7;17,8;9,5;15,5;5,9;10,7
41002;;Alitagtag;16,0;10,0;15,1;21,1;12,0;20,0;6,5;13,4
41003;;Balayan;10,4;9,3;12,0;13,6;8,4;12,5;7,2;11,3
41004;;Balete;12,7;7,7;20,3;14,6;8,4;16,9;5,8;9,5
41005;;Batangas City;8,6;6,2;9,5;10,2;7,2;9,9;5,2;7,3
41006;;Bauan;7,6;10,7;12,6;16,0;6,0;9,2;7,8;13,5
41007;;City of Calaca;10,3;10,7;13,6;15,0;8,0;12,6;8,1;13,3
41008;;Calatagan;11,7;9,6;16,6;11,9;8,5;14,9;7,7;11,5
41009;;Cuenca;11,7;11,0;15,8;16,1;8,6;14,7;8,1;13,9
41010;;Ibaan;9,3;9,3;15,1;15,1;7,0;11,6;7,0;11,7
41011;;Laurel;13,1;6,9;14,1;22,6;10,1;16,2;4,3;9,4
41012;;Lemery;10,7;9,9;11,4;16,7;8,7;12,7;7,2;12,6
41013;;Lian;10,7;9,4;16,5;13,6;7,8;13,6;7,3;11,5
41014;;City of Lipa;10,0;12,0;8,5;9,5;8,6;11,4;10,2;13,9
41015;;Lobo;20,5;8,1;14,0;13,2;15,8;25,3;6,4;9,9
41016;;Mabini;9,8;7,2;12,3;15,1;7,8;11,8;5,4;9,0
41017;;Malvar;9,4;7,8;17,8;17,2;6,7;12,2;5,6;10,0
41018;;Mataas Na Kahoy;9,2;7,7;16,6;17,9;6,7;11,7;5,4;9,9
41019;;Nasugbu;13,2;7,1;12,8;14,0;10,4;16,0;5,5;8,7
41020;;Padre Garcia;20,9;9,0;13,5;12,8;16,3;25,6;7,1;10,9
41021;;Rosario;11,9;8,5;11,4;12,4;9,7;14,2;6,8;10,3
41022;;San Jose;9,2;9,9;14,4;12,3;7,1;11,4;7,9;11,9
41023;;San Juan;13,0;9,6;11,0;15,3;10,7;15,4;7,2;12,0
41024;;San Luis;15,7;6,0;15,1;17,7;11,8;19,6;4,3;7,8
41025;;San Nicolas;19,6;8,0;14,3;17,3;15,0;24,2;5,7;10,3
41026;;San Pascual;7,5;11,4;13,2;18,6;5,9;9,2;7,9;14,8
41027;;Santa Teresita;10,8;5,9;15,6;15,9;8,0;13,5;4,4;7,5
41028;;City of Santo Tomas;8,4;7,8;15,3;21,4;6,3;10,5;5,1;10,6
41029;;Taal;8,8;9,5;12,9;16,5;7,0;10,7;6,9;12,0
41030;;Talisay;10,7;6,4;15,5;13,0;8,0;13,5;5,0;7,7
41031;;City of Tanauan;8,7;8,2;11,6;14,2;7,1;10,4;6,3;10,1
41032;;Taysan;11,8;6,4;13,5;9,3;9,2;14,4;5,4;7,4
41033;;Tingloy;19,1;9,3;17,2;16,5;13,7;24,5;6,8;11,9
41034;;Tuy;11,9;6,1;14,3;13,0;9,1;14,7;4,8;7,4
42101;Cavite;Alfonso;5,3;13,2;16,2;16,3;3,9;6,7;9,7;16,8
42102;;Amadeo;4,7;9,6;16,8;13,7;3,4;6,0;7,4;11,7
42103;;City of Bacoor;3,9;5,4;12,1;10,8;3,1;4,7;4,4;6,3
42104;;City of Carmona;4,0;10,9;29,7;10,1;2,1;6,0;9,1;12,7
42105;;City of Cavite;5,7;12,7;12,9;14,1;4,5;6,9;9,8;15,6
42106;;City of Dasmariñas;5,3;8,8;9,7;27,0;4,5;6,2;4,9;12,7
42107;;General Emilio Aguinaldo;13,1;16,1;16,8;16,3;9,5;16,7;11,8;20,4
42108;;City of General Trias;3,8;11,2;24,3;14,6;2,3;5,3;8,5;13,9
42109;;City of Imus;2,7;9,3;10,7;9,1;2,2;3,2;7,9;10,7
42110;;Indang;4,0;10,2;15,1;11,4;3,0;5,0;8,3;12,2
42111;;Kawit;5,7;10,1;18,0;14,2;4,0;7,3;7,8;12,5
42112;;Magallanes;13,8;14,3;18,1;11,1;9,7;17,9;11,7;16,9
42113;;Maragondon;6,1;11,3;18,4;15,5;4,3;8,0;8,4;14,2
42114;;Mendez (Mendez-Nuñez);9,2;15,1;16,7;12,1;6,7;11,8;12,1;18,1
42115;;Naic;6,0;11,7;15,9;12,2;4,5;7,6;9,3;14,0
42116;;Noveleta;4,1;12,3;21,4;14,5;2,6;5,5;9,4;15,3
42117;;Rosario;5,2;7,7;16,7;11,8;3,8;6,6;6,2;9,2
42118;;Silang;5,8;12,5;12,1;10,9;4,7;7,0;10,3;14,7
42119;;City of Tagaytay;5,4;15,3;15,7;18,3;4,0;6,7;10,7;19,9
42120;;Tanza;5,2;11,9;16,6;20,0;3,8;6,7;8,0;15,7
42121;;Ternate;11,4;5,6;24,7;13,4;6,8;16,1;4,3;6,8
42122;;City of Trece Martires;5,9;11,5;24,3;12,5;3,5;8,2;9,2;13,9
42123;;Gen. Mariano Alvarez;6,4;9,5;13,8;10,8;4,9;7,8;7,8;11,2
43401;Laguna;Alaminos;2,6;9,5;23,3;22,5;1,6;3,6;6,0;13,1
43402;;Bay;2,2;5,4;25,1;12,5;1,3;3,1;4,3;6,5
43403;;City of Biñan;1,7;5,8;31,4;11,4;0,8;2,6;4,7;6,8
43404;;City of Cabuyao;1,5;5,0;30,3;15,6;0,8;2,3;3,7;6,3
43405;;City of Calamba;1,9;4,0;15,5;18,7;1,4;2,4;2,7;5,2
43406;;Calauan;4,0;7,0;25,7;16,3;2,3;5,8;5,1;8,9
43407;;Cavinti;2,7;9,6;27,1;15,8;1,5;3,8;7,1;12,1
43408;;Famy;2,8;7,2;32,0;45,3;1,3;4,2;1,8;12,6
43409;;Kalayaan;5,1;7,5;44,3;23,3;1,4;8,7;4,6;10,4
43410;;Liliw;2,1;6,9;23,3;13,2;1,3;2,9;5,4;8,4
43411;;Los Baños;1,6;7,5;26,8;16,5;0,9;2,3;5,4;9,5
43412;;Luisiana;4,5;7,0;25,5;20,2;2,6;6,4;4,7;9,3
43413;;Lumban;2,3;9,0;29,3;23,6;1,2;3,4;5,5;12,4
43414;;Mabitac;3,0;9,8;27,4;16,8;1,6;4,3;7,1;12,5
43415;;Magdalena;7,8;9,1;22,4;15,2;4,9;10,7;6,8;11,4
43416;;Majayjay;3,1;12,1;19,9;13,2;2,1;4,1;9,5;14,8
43417;;Nagcarlan;2,4;5,3;20,7;20,5;1,6;3,2;3,5;7,1
43418;;Paete;5,4;7,0;31,5;17,6;2,6;8,2;5,0;9,1
43419;;Pagsanjan;2,3;8,5;24,4;21,8;1,4;3,3;5,5;11,5
43420;;Pakil;3,3;7,9;23,4;27,8;2,1;4,6;4,3;11,5
43421;;Pangil;5,8;7,1;30,0;17,7;2,9;8,7;5,0;9,1
43422;;Pila;2,4;6,3;22,4;14,8;1,5;3,2;4,8;7,8
43423;;Rizal;1,6;6,0;30,1;10,2;0,8;2,3;5,0;7,0
43424;;City of San Pablo;2,1;6,6;12,4;22,7;1,7;2,5;4,1;9,1
43425;;City of San Pedro;2,0;6,0;22,1;19,9;1,3;2,7;4,0;8,0
43426;;Santa Cruz;2,0;9,7;22,7;15,7;1,2;2,7;7,2;12,3
43427;;Santa Maria;6,2;8,6;22,3;19,1;3,9;8,5;5,9;11,2
43428;;City of Santa Rosa;1,3;3,7;31,0;14,5;0,6;2,0;2,8;4,5
43429;;Siniloan;3,0;24,4;22,2;14,0;1,9;4,1;18,7;30,0
43430;;Victoria;3,8;7,4;28,5;19,9;2,0;5,5;5,0;9,9
45601;Quezon;Agdangan;14,0;25,5;20,1;9,8;9,4;18,6;21,4;29,6
45602;;Alabat;15,5;15,6;16,9;10,4;11,2;19,7;12,9;18,2
45603;;Atimonan;6,1;22,7;15,9;8,7;4,5;7,7;19,5;25,9
45605;;Buenavista;24,9;25,0;11,8;7,6;20,1;29,7;21,8;28,1
45606;;Burdeos;22,0;22,0;15,8;13,5;16,3;27,7;17,1;26,9
45607;;Calauag;9,8;21,1;13,1;11,2;7,7;11,9;17,2;25,0
45608;;Candelaria;6,2;15,8;14,8;16,2;4,7;7,7;11,6;20,1
45610;;Catanauan;11,3;22,5;13,0;12,7;8,9;13,8;17,8;27,2
45615;;Dolores;6,3;9,6;22,2;7,2;4,0;8,7;8,4;10,7
45616;;General Luna;18,4;24,6;14,1;10,5;14,1;22,6;20,4;28,8
45617;;General Nakar;18,6;16,1;18,8;9,3;12,9;24,3;13,6;18,6
45618;;Guinayangan;17,0;17,2;13,7;12,4;13,2;20,9;13,7;20,8
45619;;Gumaca;7,7;19,8;13,5;8,7;6,0;9,4;16,9;22,6
45620;;Infanta;7,6;27,3;16,0;20,6;5,6;9,6;18,1;36,6
45621;;Jomalig;25,8;12,8;20,7;13,8;17,0;34,5;9,9;15,7
45622;;Lopez;9,1;23,6;13,1;15,6;7,1;11,0;17,6;29,6
45623;;Lucban;4,0;19,8;19,3;11,3;2,7;5,3;16,2;23,5
45625;;Macalelon;19,2;30,1;11,7;7,9;15,5;22,9;26,2;34,0
45627;;Mauban;8,0;15,9;17,6;13,3;5,7;10,3;12,5;19,4
45628;;Mulanay;21,1;20,3;13,4;13,6;16,5;25,8;15,8;24,9
45629;;Padre Burgos;8,0;22,1;17,5;10,1;5,7;10,3;18,5;25,8
45630;;Pagbilao;6,3;24,9;17,4;15,9;4,5;8,1;18,4;31,4
45631;;Panukulan;22,3;26,0;17,1;21,9;16,0;28,6;16,6;35,4
45632;;Patnanungan;24,1;21,3;24,8;12,7;14,3;34,0;16,8;25,8
45633;;Perez;21,5;18,7;16,8;14,3;15,6;27,4;14,3;23,2
45634;;Pitogo;8,7;25,9;18,3;16,3;6,1;11,3;18,9;32,8
45635;;Plaridel;7,3;22,8;24,1;12,2;4,4;10,2;18,3;27,4
45636;;Polillo;10,7;21,1;16,0;15,6;7,9;13,6;15,7;26,5
45637;;Quezon;17,0;23,5;17,6;9,6;12,1;21,9;19,8;27,2
45638;;Real;8,7;16,7;18,4;15,2;6,1;11,3;12,5;20,9
45639;;Sampaloc;12,6;13,6;17,8;10,0;8,9;16,2;11,4;15,9
45640;;San Andres;20,7;27,8;21,0;11,6;13,5;27,8;22,5;33,1
45641;;San Antonio;16,5;17,8;15,1;11,1;12,4;20,6;14,5;21,0
45642;;San Francisco (Aurora);24,2;30,2;14,6;9,8;18,4;29,9;25,4;35,1
45644;;San Narciso;23,2;19,8;13,8;12,4;18,0;28,5;15,8;23,8
45645;;Sariaya;6,3;14,8;15,8;10,4;4,7;8,0;12,3;17,3
45646;;Tagkawayan;20,9;4,3;12,4;32,3;16,6;25,2;2,0;6,5
45647;;City of Tayabas;6,3;12,9;14,5;13,7;4,8;7,8;10,0;15,8
45648;;Tiaong;6,8;20,1;17,1;15,0;4,9;8,7;15,2;25,1
45649;;Unisan;14,6;20,2;16,7;12,8;10,6;18,7;15,9;24,4
45801;Rizal;Angono;4,1;6,1;30,5;11,0;2,0;6,1;5,0;7,2
45802;;City of Antipolo;5,4;9,3;17,1;7,7;3,9;6,9;8,1;10,5
45803;;Baras;6,4;7,6;40,0;20,1;2,2;10,6;5,1;10,1
45804;;Binangonan;3,8;1,6;19,8;47,2;2,6;5,1;0,4;2,8
45805;;Cainta;3,7;3,6;33,8;23,0;1,6;5,8;2,2;4,9
45806;;Cardona;4,7;9,2;22,0;22,7;3,0;6,4;5,8;12,7
45807;;Jala-Jala;12,4;6,3;19,2;26,8;8,5;16,3;3,5;9,1
45808;;Rodriguez (Montalban);5,6;7,4;31,5;11,2;2,7;8,5;6,0;8,7
45809;;Morong;3,8;9,0;28,6;22,1;2,0;5,6;5,7;12,3
45810;;Pililla;5,1;8,8;27,0;22,9;2,9;7,4;5,5;12,2
45811;;San Mateo;4,2;6,6;21,1;16,9;2,8;5,7;4,8;8,5
45812;;Tanay;6,4;5,5;22,6;24,7;4,0;8,7;3,2;7,7
45813;;Taytay;4,6;9,8;30,2;37,6;2,3;6,9;3,7;15,9
45814;;Teresa;4,1;5,7;31,6;14,4;2,0;6,3;4,4;7,1
;Region IV-B (MIMAROPA);;;;;;;;;
174001;Marinduque;Boac;13,4;14,7;8,8;4,9;11,5;15,4;13,5;15,8
174002;;Buenavista;19,7;21,9;15,9;5,0;14,5;24,8;20,1;23,7
174003;;Gasan;15,7;19,4;12,8;8,1;12,4;18,9;16,8;22,0
174004;;Mogpog;12,1;23,0;12,3;4,6;9,7;14,5;21,3;24,8
174005;;Santa Cruz;13,5;20,7;10,0;13,6;11,3;15,8;16,0;25,3
174006;;Torrijos;20,3;10,1;11,4;7,9;16,5;24,2;8,8;11,4
175101;Occidental Mindoro;Abra de Ilog;20,5;37,3;17,4;4,6;14,6;26,3;34,4;40,1
175102;;Calintaan;19,0;16,3;18,1;8,9;13,3;24,6;13,9;18,7
175103;;Looc;13,3;28,4;21,5;11,7;8,6;18,0;22,9;33,8
175104;;Lubang;9,5;22,3;21,7;7,8;6,1;12,9;19,4;25,1
175105;;Magsaysay;21,0;15,3;15,1;8,5;15,8;26,2;13,2;17,5
175106;;Mamburao;13,2;17,4;20,4;8,6;8,7;17,6;14,9;19,8
175107;;Paluan;22,6;20,9;17,3;6,3;16,2;29,1;18,8;23,1
175108;;Rizal;21,3;30,1;15,4;11,1;15,9;26,7;24,6;35,5
175109;;Sablayan;12,8;28,3;17,2;6,9;9,2;16,5;25,1;31,5
175110;;San Jose;15,3;22,0;13,1;14,7;12,0;18,6;16,6;27,3
175111;;Santa Cruz;16,8;17,5;19,8;12,9;11,3;22,3;13,8;21,3
175201;Oriental Mindoro;Baco;16,8;34,4;10,8;5,8;13,8;19,8;31,1;37,8
175202;;Bansud;16,2;16,5;18,3;10,8;11,3;21,1;13,5;19,4
175203;;Bongabong;16,5;29,9;10,9;13,5;13,6;19,4;23,2;36,6
175204;;Bulalacao;23,9;31,8;15,8;8,9;17,7;30,2;27,1;36,4
175205;;City of Calapan;7,2;24,7;9,9;5,9;6,0;8,3;22,3;27,1
175206;;Gloria;14,3;23,1;10,6;7,9;11,8;16,8;20,2;26,1
175207;;Mansalay;23,3;33,5;13,4;8,8;18,2;28,4;28,6;38,3
175208;;Naujan;12,4;18,2;8,7;12,1;10,6;14,2;14,6;21,9
175209;;Pinamalayan;11,4;10,5;12,8;10,0;9,0;13,8;8,8;12,2
175210;;Pola;14,9;18,1;14,1;5,5;11,4;18,3;16,5;19,8
175211;;Puerto Galera;13,3;16,2;18,3;5,0;9,3;17,3;14,9;17,5
175212;;Roxas;16,4;11,5;12,5;14,3;13,1;19,8;8,8;14,2
175213;;San Teodoro;16,5;18,8;18,6;21,3;11,5;21,6;12,2;25,3
175214;;Socorro;13,7;15,4;12,2;8,5;11,0;16,5;13,2;17,5
175215;;Victoria;11,7;16,9;12,4;10,1;9,3;14,1;14,1;19,7
175301;Palawan;Aborlan;13,3;15,4;17,1;15,1;9,6;17,1;11,6;19,3
175302;;Agutaya;15,2;23,3;29,3;6,9;7,9;22,6;20,6;25,9
175303;;Araceli;19,2;39,1;14,3;7,9;14,7;23,7;34,0;44,2
175304;;Balabac;29,7;14,2;15,0;8,2;22,4;37,1;12,3;16,1
175305;;Bataraza;15,3;31,1;15,3;12,3;11,4;19,1;24,8;37,4
175306;;Brooke's Point;16,7;15,7;12,0;8,3;13,4;20,0;13,6;17,8
175307;;Busuanga;17,4;20,6;14,5;6,6;13,3;21,6;18,3;22,8
175308;;Cagayancillo;23,2;22,1;17,5;35,0;16,5;29,8;9,4;34,9
175309;;Coron;17,1;9,8;13,5;46,4;13,3;20,8;2,3;17,3
175310;;Cuyo;11,4;21,0;16,9;11,9;8,2;14,5;16,9;25,1
175311;;Dumaran;15,5;14,9;15,4;35,4;11,6;19,5;6,2;23,5
175312;;El Nido;16,3;15,3;12,6;15,7;13,0;19,7;11,4;19,3
175313;;Linapacan;21,8;15,9;15,0;20,2;16,5;27,2;10,6;21,2
175314;;Magsaysay;11,9;26,3;20,1;19,4;8,0;15,8;17,9;34,7
175315;;Narra;10,3;17,6;14,8;9,7;7,8;12,9;14,7;20,4
175317;;Quezon;18,8;14,2;14,5;23,9;14,3;23,3;8,6;19,8
175318;;Roxas;10,8;17,7;12,4;7,5;8,6;13,0;15,6;19,9
175319;;San Vicente;18,9;17,8;16,9;18,4;13,7;24,2;12,4;23,2
175320;;Taytay;17,9;25,2;12,1;6,0;14,3;21,5;22,7;27,7
175321;;Kalayaan;;18,2;;27,3;;;10,0;26,4
175322;;Culion;15,8;40,2;16,6;10,0;11,5;20,1;33,6;46,8
175323;;Rizal;20,1;14,6;16,5;12,5;14,7;25,6;11,6;17,6
175324;;Sofronio Española;17,4;21,3;17,9;9,4;12,3;22,5;18,0;24,6
175901;Romblon;Alcantara;21,2;16,1;13,6;12,3;16,4;25,9;12,8;19,3
175902;;Banton;16,7;24,8;16,9;10,0;12,1;21,4;20,8;28,9
175903;;Cajidiocan;28,7;35,2;12,1;8,8;23,0;34,4;30,1;40,3
175904;;Calatrava;22,6;27,3;16,9;11,3;16,4;28,9;22,2;32,3
