region,year,poverty_women,poverty_children,next_year,years_to_next,poverty_women_next,poverty_children_next,d_pov_women_next,d_pov_children_next,typhoon_count,flood_count,earthquake_count,total_deaths,total_affected,total_damages,severe_event,haiyan_dummy
Region VII (Central Visayas),2021,27.8,36.9,2023.0,2.0,17.8,25.7,-10.0,-11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region VII (Central Visayas),2023,17.8,25.7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region VIII Eastern Visayas),2018,30.3,40.0,2021.0,3.0,29.3,39.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region VIII Eastern Visayas),2021,29.3,39.0,2023.0,2.0,27.9,37.7,-1.4000000000000021,-1.2999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region VIII Eastern Visayas),2023,27.9,37.7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region X (Northern Mindanao),2018,22.9,31.6,2021.0,3.0,25.8,35.6,2.900000000000002,4.0,0.0,1.0,0.0,11.0,180000.0,0.0,0.0,0.0
Region X (Northern Mindanao),2021,25.8,35.6,2023.0,2.0,24.9,35.0,-0.9000000000000021,-0.6000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region X (Northern Mindanao),2023,24.9,35.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region XI (Davao Region),2018,19.0,26.9,2021.0,3.0,17.1,24.2,-1.8999999999999986,-2.6999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region XI (Davao Region),2021,17.1,24.2,2023.0,2.0,16.2,24.2,-0.9000000000000021,0.0,0.0,2.0,0.0,0.0,27446.0,0.0,0.0,0.0
Region XI (Davao Region),2023,16.2,24.2,,,,,,,1.0,1.0,1.0,13.0,450727.0,30615.0,0.0,0.0
Region XIII (Caraga),2018,30.4,39.8,2021.0,3.0,33.6,44.1,3.200000000000003,4.300000000000004,2.0,0.0,0.0,3.0,338776.0,15362.0,0.0,0.0
Region XIII (Caraga),2021,33.6,44.1,2023.0,2.0,21.0,29.2,-12.600000000000001,-14.900000000000002,4.0,0.0,0.0,530.0,12036988.0,1013995.0,1.0,0.0
Region XIII (Caraga),2023,21.0,29.2,,,,,,,1.0,2.0,1.0,71.0,3323065.0,58125.0,0.0,0.0
"excluding Cotabato City""",2018,26.9,35.0,2021.0,3.0,27.7,36.9,0.8000000000000007,1.8999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"excluding Cotabato City""",2021,27.7,36.9,2023.0,2.0,23.0,32.1,-4.699999999999999,-4.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"excluding Cotabato City""",2023,23.0,32.1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
